ObservationsStedNr;ObservationsStedNavn;Startdato;Startklok;UndersøgelseNr;TekniskAnvisninganvendt;MålingNr;Parameter;Enhed;Resultat;ResultatAttribut;Kontrol;Kvalitet;Kvalitetsnote
"21000665";"Knud Å, Bens. Møllevad Bro";"20031112";"1200";"1";"True";"1";"Temperatur";"grader C";"7,4";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20031210";"1200";"1";"True";"1";"Temperatur";"grader C";"6,1";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20040115";"1200";"1";"True";"1";"Temperatur";"grader C";"2,9";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20040210";"1200";"1";"True";"1";"Temperatur";"grader C";"3,4";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20040323";"1200";"1";"True";"1";"Temperatur";"grader C";"4,5";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20040422";"1200";"1";"True";"1";"Temperatur";"grader C";"10,8";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20040517";"1200";"1";"True";"1";"Temperatur";"grader C";"13";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20040615";"1200";"1";"True";"1";"Temperatur";"grader C";"16,5";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20040713";"1200";"1";"True";"1";"Temperatur";"grader C";"16,2";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20040810";"1200";"1";"True";"1";"Temperatur";"grader C";"23,7";"=";"C, Faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20040907";"1200";"1";"True";"1";"Temperatur";"grader C";"18,2";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20041005";"1200";"1";"True";"1";"Temperatur";"grader C";"13,7";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20041116";"1200";"1";"True";"1";"Temperatur";"grader C";"8,4";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20041214";"1200";"1";"True";"1";"Temperatur";"grader C";"6,1";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20050127";"1200";"1";"True";"1";"Temperatur";"grader C";"3,1";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20050215";"1200";"1";"True";"1";"Temperatur";"grader C";"2,1";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20050322";"1200";"1";"True";"1";"Temperatur";"grader C";"2,3";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20050413";"1200";"1";"True";"1";"Temperatur";"grader C";"5,6";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20050427";"1200";"1";"True";"1";"Temperatur";"grader C";"7,7";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20050510";"1200";"1";"True";"1";"Temperatur";"grader C";"9,6";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20050524";"1200";"1";"True";"1";"Temperatur";"grader C";"13";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20050608";"1200";"1";"True";"1";"Temperatur";"grader C";"14,8";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20050622";"1200";"1";"True";"1";"Temperatur";"grader C";"16,2";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20050707";"1200";"1";"True";"1";"Temperatur";"grader C";"20,3";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20050714";"1200";"1";"True";"1";"Temperatur";"grader C";"22,9";"=";"C, Faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20050721";"1200";"1";"True";"1";"Temperatur";"grader C";"19,1";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20050803";"1200";"1";"True";"1";"Temperatur";"grader C";"18";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20050816";"1200";"1";"True";"1";"Temperatur";"grader C";"16,7";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20050831";"1200";"1";"True";"1";"Temperatur";"grader C";"17,4";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20050913";"1200";"1";"True";"1";"Temperatur";"grader C";"18";"=";"D, FDC faglig kontrol";"Godkendt";""
